Image URL,Item Name,MRP,Incl.GST,Margins
https://images-eu.ssl-images-amazon.com/images/I/410IyXKux-L._AA160_.jpg,Parachute Coconut Oil - 200 ml,86.00,71.03,21.08%
https://images-eu.ssl-images-amazon.com/images/I/51M-GOswHQL._AA160_.jpg,Eveready Battery Red Hd AA 1015 Battery [Pack of 20],300.00,195.90,53.14%
https://images-eu.ssl-images-amazon.com/images/I/41C2SlJZK%2BL._AA160_.jpg,"Cadbury Dairy Milk Chocolate, 6.3 gm pack [Pack of 72]",360.00,315.00,14.29%
https://images-eu.ssl-images-amazon.com/images/I/51cUOCAwzOL._AA160_.jpg,"Pampers Medium Size Diaper Pants, 2 pcs [Pack of 8]",192.00,158.00,21.52%
https://images-eu.ssl-images-amazon.com/images/I/41D4VEmEH8L._AA160_.jpg,"Fevikwik Instant Glue, 0.5 grams [Pack of 78]",390.00,307.32,26.90%
https://images-eu.ssl-images-amazon.com/images/I/51BMJPK%2BPBL._AA160_.jpg,Colgate Toothpaste Strong Teeth Dental Cream - 100 g (Anti-cavity),50.00,44.53,12.28%
https://images-eu.ssl-images-amazon.com/images/I/41t%2BneN0ELL._AA160_.jpg,Dettol Antiseptic Liquid - 60 ml (DL Reqd) (MFR: RB),25.00,20.91,19.56%
https://images-eu.ssl-images-amazon.com/images/I/51LxRKzoNEL._AA160_.jpg,"Pedigree Puppy Dry Dog Food, Chicken & Milk, 400g Pack",90.00,74.91,20.14%
https://images-eu.ssl-images-amazon.com/images/I/51q2ltUdfPL._AA160_.jpg,Surf Excel Easy Wash Detergent Powder 500 g,60.00,50.91,17.86%
https://images-eu.ssl-images-amazon.com/images/I/41yIRzHpymL._AA160_.jpg,Fair & Lovely Advanced Multi Vitamin Face Cream 25 g,52.00,46.43,12.00%
https://images-eu.ssl-images-amazon.com/images/I/413Ma63q2QL._AA160_.jpg,Eveready Battery Red Hd AAA 1012 Battery [Pack of 20],260.00,173.99,49.43%
https://images-eu.ssl-images-amazon.com/images/I/51QyXr%2BlOdL._AA160_.jpg,"Brooke Bond, Red Label Tea, 100g [Pack of 10]",350.00,310.00,12.90%
https://images-eu.ssl-images-amazon.com/images/I/51XZuiatiBL._AA160_.jpg,"Pampers Baby Small Size Dry Pants, 2pcs [Pack of 8]",160.00,131.66,21.53%
https://images-eu.ssl-images-amazon.com/images/I/31AQw-I7arL._AA160_.jpg,Apsara Platinum Extra Dark Pencils - 10 Count,50.00,40.00,25.00%
https://images-eu.ssl-images-amazon.com/images/I/51wEYsg3VWL._AA160_.jpg,"Classmate Octoglide Gel Pens, Blue, 10pcs + 1 free",100.00,73.51,36.04%
https://images-eu.ssl-images-amazon.com/images/I/41Z1R5r3MwL._AA160_.jpg,Dettol Antiseptic Liquid Regular - 250 ml (DL Reqd) (MFR: RB),96.00,80.67,19.00%
https://images-eu.ssl-images-amazon.com/images/I/51hli9UfbNL._AA160_.jpg,"Indica Easy Mini Hair Color Natural Black, 18ml [Pack of 12]",300.00,236.31,26.95%
https://images-eu.ssl-images-amazon.com/images/I/51%2BGtUZPHVL._AA160_.jpg,"Pedigree Adult Dog Food, Chicken and Vegetables, 100 g (Pack of 6)",120.00,95.62,25.50%
https://images-eu.ssl-images-amazon.com/images/I/51Y-lYDl6qL._AA160_.jpg,"Nandini Pure Ghee, 200ml Pouch",100.00,90.91,10.00%
https://images-eu.ssl-images-amazon.com/images/I/41SlzuLQfNL._AA160_.jpg,"Pampers Large Size Diaper Pants, 2pcs [Pack of 8]",224.00,184.35,21.51%
https://images-eu.ssl-images-amazon.com/images/I/41yJCLqT%2BoL._AA160_.jpg,"Rorito B Max Ball Point Pen, Blue [Pack of 25]",125.00,92.50,35.14%
https://images-eu.ssl-images-amazon.com/images/I/41XXTAMLTYL._AA160_.jpg,MONKEY 555 Grass Brooms [Pack of 10],900.00,630.00,42.86%
https://images-eu.ssl-images-amazon.com/images/I/41Z3%2BQ-jsIL._AA160_.jpg,Whisper Choice Ultra (6 Pads),40.00,33.88,18.06%
https://images-eu.ssl-images-amazon.com/images/I/51wZ4e1u36L._AA160_.jpg,Eveready ALK AAA Ultima Battery - Strip of 12,420.00,287.99,45.84%
https://images-eu.ssl-images-amazon.com/images/I/41iNTB5aaEL._AA160_.jpg,"Head & Shoulders Basic Clean Shampoo, Cool, 5ml [Pack of 64]",128.00,99.00,29.29%
https://images-eu.ssl-images-amazon.com/images/I/61b2dirnn1L._AA160_.jpg,"Classmate Long Notebook 314mm x 194mm, Soft Cover, 160 Pages, Single Line [Pack of 12]",660.00,477.11,38.33%
https://images-eu.ssl-images-amazon.com/images/I/41s9Vvm-FJL._AA160_.jpg,"Cadbury Perk Chocolate Bar, 13 gm [Pack of 30]",150.00,132.17,13.49%
https://images-eu.ssl-images-amazon.com/images/I/51LzUuxbZaL._AA160_.jpg,"Pedigree Adult Dry Dog Food, Chicken & Vegetables, 400g Pack",85.00,70.75,20.14%
https://images-eu.ssl-images-amazon.com/images/I/314G4FVT8uL._AA160_.jpg,POND'S Dreamflower Fragrant Talc 25 g,10.00,8.93,11.98%
https://images-eu.ssl-images-amazon.com/images/I/31fYiaBlUzL._AA160_.jpg,Fevicol MR White Adhesive Squeezy Bottle 22.5 gms [Pack of 25],250.00,193.60,29.13%
https://images-eu.ssl-images-amazon.com/images/I/41Hx4GFivwL._AA160_.jpg,"Harpic Powerplus Original, 200 ml",37.00,31.56,17.24%
https://images-eu.ssl-images-amazon.com/images/I/41-XynIkwYL._AA160_.jpg,"Plastobag Oxo Bio Degradable Bags, 19 x 21 inches, 30 per Pack (Medium) - Black",70.00,43.79,59.85%
https://images-eu.ssl-images-amazon.com/images/I/414rYFV7btL._AA160_.jpg,Medimix Ayurvedic Soap with 18 Herbs - 75 g,26.00,23.64,9.98%
https://images-eu.ssl-images-amazon.com/images/I/51C48Rbwr9L._AA160_.jpg,"Maggi 2-Minutes Noodles Masala, 70g [Pack of 12]",144.00,129.73,11.00%
